GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
BillingTest,com.columnhack.discount,DiscountService,4,9,0,0,2,4,1,2,1,2
BillingTest,com.columnhack.user,UserType,0,39,0,0,0,2,0,1,0,1
BillingTest,com.columnhack.user,User,33,72,3,3,16,18,12,5,9,5
BillingTest,com.columnhack.store,ItemType,0,15,0,0,0,2,0,1,0,1
BillingTest,com.columnhack.store,Item,33,0,0,0,14,0,7,0,7,0
BillingTest,com.columnhack.store,Store,15,18,0,0,7,7,4,3,4,3
BillingTest,com.columnhack,NetBillApp,7,0,0,0,3,0,2,0,2,0
BillingTest,com.columnhack.bill,AffiliateBillCalculator,0,24,0,0,0,5,0,2,0,2
BillingTest,com.columnhack.bill,OverTwoYearsRewardBillCalculator,20,3,0,0,4,1,1,1,1,1
BillingTest,com.columnhack.bill,GroceryBillCalculator,0,6,0,0,0,2,0,2,0,2
BillingTest,com.columnhack.bill,Bill,0,24,0,0,0,10,0,7,0,7
BillingTest,com.columnhack.bill,EmployeeBillCalculator,21,3,0,0,4,1,1,1,1,1
BillingTest,com.columnhack.service,Service,2,36,1,1,0,10,1,5,0,5
BillingTest,com.columnhack.service,BillingService,1,80,1,3,0,17,1,6,0,5
BillingTest,com.columnhack.service,CustomerService,0,11,0,0,0,5,0,3,0,3
BillingTest,com.columnhack.factory,BillCalculatorFactory,0,34,0,6,0,8,0,5,0,2
